Date,Open,High,Low,Close,Volume,Adj Close
2016-11-11,60.50,61.15,60.40,61.15,88314500,61.15
2016-11-10,59.80,60.00,59.45,60.00,87753400,60.00
2016-11-09,59.40,59.45,56.60,58.00,57682700,58.00
2016-11-08,59.50,59.50,58.95,59.10,38731900,59.10
2016-11-07,57.70,59.15,57.50,59.15,40605700,59.15
2016-11-04,57.60,57.70,57.25,57.45,8509800,57.45
2016-11-03,57.40,57.85,57.40,57.60,9591400,57.60
2016-11-02,58.00,58.15,57.50,57.70,18793500,57.70
2016-11-01,58.35,58.65,58.10,58.45,31483300,58.45
2016-10-31,58.25,58.65,58.20,58.35,33362900,58.35
2016-10-28,58.95,59.00,58.30,58.35,27462000,58.35
2016-10-27,58.95,59.00,58.25,58.70,19581000,58.70
2016-10-26,59.10,59.15,58.70,58.80,11136400,58.80
2016-10-25,59.10,59.35,58.80,59.25,9311600,59.25
2016-10-24,59.15,59.55,58.90,59.40,27827200,59.40
2016-10-21,58.80,58.80,58.80,58.80,000,58.80
2016-10-20,58.60,58.80,58.55,58.80,14401100,58.80
2016-10-19,59.25,59.40,58.90,59.05,17732900,58.95
2016-10-18,58.30,59.00,58.30,59.00,11597200,58.90
2016-10-17,58.00,58.35,57.75,58.05,9888300,57.952
2016-10-14,57.90,58.60,57.90,58.50,13941400,58.401
2016-10-13,58.55,58.55,57.35,57.75,31354000,57.652
2016-10-12,58.55,58.95,58.45,58.70,15522400,58.601
2016-10-11,59.45,59.80,58.50,58.95,38185700,58.85
2016-10-10,58.95,58.95,58.95,58.95,000,58.85
2016-10-07,59.00,59.05,58.45,58.95,17576800,58.85
2016-10-06,59.25,59.55,58.95,59.35,24688500,59.249
2016-10-05,58.75,59.40,58.60,59.00,16538700,58.90
2016-10-04,58.30,58.90,58.15,58.75,22021900,58.651
2016-10-03,58.15,58.35,57.85,58.05,18634900,57.952
2016-09-30,57.60,57.85,56.90,57.15,35683300,57.053
2016-09-29,58.40,58.45,57.85,58.15,17086600,58.052
2016-09-28,58.30,58.40,57.40,58.15,28121200,58.052
2016-09-27,57.50,58.65,57.35,58.10,30959600,58.002
2016-09-26,57.50,58.30,57.00,57.35,33044900,57.253
2016-09-23,58.75,59.00,57.70,58.05,44806100,57.952
2016-09-22,59.80,60.15,58.35,58.55,43595900,58.451
2016-09-21,58.70,59.85,58.60,59.40,34045800,59.299
2016-09-20,58.55,59.25,58.25,58.95,31229100,58.85
2016-09-19,57.85,58.85,57.85,58.65,38838700,58.551
2016-09-16,58.35,58.35,58.35,58.35,000,58.251
2016-09-15,57.50,58.50,57.50,58.35,22560200,58.251
