Date,Open,High,Low,Close,Volume,Adj Close
2016-11-11,60.50,61.15,60.40,61.15,88314500,61.15
2016-11-10,59.80,60.00,59.45,60.00,87753400,60.00
2016-11-09,58.10,60.60,57.90,60.40,57682700,58.00
2016-11-08,57.90,60.40,57.70,60.20,38731900,59.10
2016-11-07,57.70,60.20,57.50,60.00,40605700,59.15
2016-11-04,57.60,57.70,57.25,57.45,8509800,57.45
2016-11-03,57.40,57.85,57.40,57.60,9591400,57.60
2016-11-02,58.00,58.15,57.50,57.70,18793500,57.70
2016-11-01,58.35,58.65,58.10,58.45,31483300,58.45
2016-10-31,59.25,59.85,59.20,59.75,33362900,58.35
2016-10-28,58.70,58.75,58.30,58.35,27462000,58.35
2016-10-27,58.90,58.95,58.50,58.60,19581000,58.70
2016-10-26,59.10,59.15,58.70,58.80,11136400,58.80
